wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,key_plot_id,county_names,county_fips,population_served,date_start,date_end,detect_prop_15d,percentile,sampling_prior,first_sample_date,ptc_15d,sample_location_specify
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-07,2023-06-21,100,100.0,no,2023-06-21,,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-08,2023-06-22,100,100.0,no,2023-06-21,,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-09,2023-06-23,100,100.0,no,2023-06-21,,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-10,2023-06-24,100,100.0,no,2023-06-21,,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-11,2023-06-25,100,59.5,no,2023-06-21,-100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-12,2023-06-26,100,59.5,no,2023-06-21,-100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-13,2023-06-27,100,59.5,no,2023-06-21,-100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-14,2023-06-28,100,59.5,no,2023-06-21,-100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-15,2023-06-29,100,59.5,no,2023-06-21,-100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-16,2023-06-30,100,59.5,no,2023-06-21,-100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-17,2023-07-01,100,59.5,no,2023-06-21,-100,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-18,2023-07-02,100,44.333,no,2023-06-21,-98,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-19,2023-07-03,100,44.333,no,2023-06-21,-98,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-20,2023-07-04,100,52.25,no,2023-06-21,-87,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-21,2023-07-05,100,52.25,no,2023-06-21,-87,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-22,2023-07-06,100,52.25,no,2023-06-21,339,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-23,2023-07-07,100,52.25,no,2023-06-21,339,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-24,2023-07-08,100,52.25,no,2023-06-21,339,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-25,2023-07-09,100,52.25,no,2023-06-21,339,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-26,2023-07-10,100,41.0,no,2023-06-21,28,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-27,2023-07-11,100,30.75,no,2023-06-21,-84,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-28,2023-07-12,100,30.75,no,2023-06-21,-84,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-29,2023-07-13,100,30.75,no,2023-06-21,-84,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-06-30,2023-07-14,100,30.75,no,2023-06-21,-84,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-01,2023-07-15,100,30.75,no,2023-06-21,-84,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-02,2023-07-16,100,34.2,no,2023-06-21,-36,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-03,2023-07-17,100,34.2,no,2023-06-21,-68,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-04,2023-07-18,100,40.0,no,2023-06-21,-37,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-05,2023-07-19,100,40.0,no,2023-06-21,471,
Hawaii,710,Hawaii,Treatment plant,CDC_BIOBOT_hi_710_Treatment plant_raw wastewater,Kauai,15007,10000,2023-07-06,2023-07-20,100,40.0,no,2023-06-21,471,
